,lat,lon,stop,bike station,pharmacy,aed,attraction,theatre,tree,bush,forest,police station,hotel,dorm,cost
0,52.17808575,21.048404286,7,0,1,0,0,0,0,0,0,0,0,0,23924.78
1,52.2606678,20.9654774,4,0,1,0,0,0,0,0,0,0,0,0,28016.68
2,52.3107518,21.0728133,0,0,0,0,0,0,0,0,0,0,0,0,13500.0
3,52.20185,21.0460256,8,0,2,0,0,0,0,0,0,0,1,0,21800.0
4,52.2390064,21.1394394,2,0,0,0,0,0,0,0,0,0,0,0,19019.82
5,52.1930951,20.9676777,3,0,1,0,0,0,0,0,0,0,0,0,16014.6
6,52.1578185,20.9918058,5,0,0,0,0,0,0,0,0,0,0,0,20769.23
7,52.218666,21.0171113,16,0,3,0,0,1,0,0,0,0,0,1,25888.89
8,52.2219341,20.9613556,5,0,0,0,0,0,0,0,0,0,0,0,36278.1
9,52.1870684,21.0205242,12,0,1,0,0,0,0,0,0,0,0,0,17900.0
10,52.1870684,21.0205242,12,0,1,0,0,0,0,0,0,0,0,0,17826.25
11,52.2403254,21.0246196,4,0,2,0,0,0,0,0,0,0,0,0,32537.69
12,52.1984465,20.9321043,1,0,1,0,0,0,0,0,0,0,0,0,18497.42
13,52.2021339,20.8955768,7,0,0,0,0,0,0,0,0,0,0,0,12200.0
14,52.2393366,20.8994336,7,0,0,0,0,0,0,0,0,0,0,0,16931.22
15,52.1945811,20.874671,3,0,1,0,0,0,0,0,0,0,0,0,11605.42
16,52.2021339,20.8955768,7,0,0,0,0,0,0,0,0,0,0,0,12200.0
17,52.222991,21.0365414,7,0,1,0,0,0,0,0,0,0,0,0,62000.0
18,52.3286325,21.0358256,0,0,0,0,0,0,0,0,0,0,1,0,14800.0
19,52.2021339,20.8955768,7,0,0,0,0,0,0,0,0,0,0,0,14557.5
20,52.2021339,20.8955768,7,0,0,0,0,0,0,0,0,0,0,0,15175.0
21,52.1870684,21.0205242,12,0,1,0,0,0,0,0,0,0,0,0,17659.23
22,52.2504396,21.0380824,8,0,2,0,0,0,0,0,0,0,3,0,20900.0
23,52.2251723,21.0330912,4,0,1,0,0,0,0,0,0,0,0,1,27000.0
24,52.2390014,20.9457213,10,0,4,0,0,0,0,0,0,0,0,1,18405.8
25,52.2379985,20.9786359,10,0,1,0,0,0,0,0,0,0,1,0,18821.29
26,52.2084859,20.9998529,4,0,2,0,0,0,0,0,0,0,0,0,17119.05
27,52.2590958,20.9729255,4,0,0,0,0,0,0,0,0,0,0,0,26929.81
28,52.2037666,20.9793461,3,0,2,0,0,0,0,0,0,0,1,0,17833.33
29,52.2374445,21.0263644,6,0,1,0,0,0,0,0,0,0,1,0,19314.08
30,52.2358514,20.899088,2,0,1,0,0,0,0,0,0,0,0,0,13161.76
31,52.1976201,20.9245047,6,0,0,0,0,0,0,0,0,0,0,0,23263.16
32,52.1650895,21.0170017,3,0,0,0,0,0,0,0,0,0,0,0,21975.77
33,52.3129024,21.073965,0,0,0,0,0,0,0,0,0,0,0,0,13179.66
34,52.2357403,20.9963846,8,0,2,0,0,0,0,0,0,0,2,0,38167.21
35,52.26297,21.0343728,3,0,2,0,0,0,0,0,0,0,0,0,18700.0
36,52.2274508,21.0823045,5,0,2,0,0,0,0,0,0,0,0,0,10360.36
37,52.2914888,20.9454205,2,0,0,0,0,0,0,0,0,0,0,0,25409.84
38,52.2712201,20.9345381,9,0,1,0,0,0,0,0,0,0,0,0,14464.29
39,52.2894896,21.0513669,5,0,0,0,0,0,0,0,0,0,0,0,16371.81
40,52.1984465,20.9321043,1,0,1,0,0,0,0,0,0,0,0,0,15728.08
41,52.1568886,21.0764109,6,0,1,0,0,0,0,0,0,0,0,0,19733.92
42,52.2357403,20.9963846,8,0,2,0,0,0,0,0,0,0,2,0,33300.0
43,52.2187126,20.8907481,2,0,0,0,0,0,0,0,0,0,0,0,17934.78
44,52.2054805,20.9698563,10,0,3,0,0,0,0,0,0,0,0,0,15500.0
45,52.160946,21.0826443,3,0,0,0,0,0,0,0,0,0,0,0,20389.34
46,52.1906793,21.1331378,0,0,0,0,0,0,0,0,0,0,0,0,13326.67
47,52.2265847,21.0019891,12,0,3,0,0,0,0,0,0,0,1,0,16546.76
48,52.2515882,21.1669924,3,0,1,0,0,0,0,0,0,0,0,0,13191.49
49,52.1955173,20.9633217,11,0,0,0,0,0,0,0,0,0,0,0,14027.03
50,52.2276397,21.0640946,5,0,1,0,0,0,0,0,0,0,0,0,14719.3
51,52.2365069,21.0052377,11,0,3,0,0,2,0,0,0,0,0,0,25695.93
52,52.2470278,21.101837,5,0,1,0,0,0,0,0,0,0,0,0,15173.33
53,52.2165318,21.1708302,0,0,0,0,0,0,0,0,0,0,0,0,18947.58
54,52.2169698,20.9005175,4,0,0,0,0,0,0,0,0,0,0,0,17663.36
55,52.2772466,21.0141644,4,0,0,0,0,0,0,18,0,0,0,0,16800.0
56,52.2215848,21.0978952,7,0,2,0,0,0,0,0,0,0,0,0,12485.71
57,52.1697533,21.057234,2,0,1,0,0,0,0,0,0,0,0,0,14147.7
58,52.1866181,21.0611189,6,0,2,0,0,0,0,0,0,0,0,0,14113.92
59,52.2448659,20.9945749,7,0,3,0,0,1,0,0,0,0,0,0,16552.72
60,52.1984462,21.001498,7,0,1,0,0,0,0,0,0,0,0,0,17605.63
61,52.252326,21.0752743,14,0,0,0,0,0,0,0,0,0,1,0,19749.63
62,52.2505493,21.0140867,4,0,1,0,0,5,0,0,0,0,1,0,25942.31
63,52.2949395,21.03609,8,0,1,0,0,0,0,0,0,0,0,0,12765.96
64,52.2618222,21.181513,2,0,1,0,0,0,0,0,0,0,0,0,12654.32
65,52.2238676,20.9895636,14,0,2,0,0,0,0,0,0,0,4,0,19500.0
66,52.1884701,20.9180292,0,0,0,0,0,0,0,0,0,0,0,0,16022.04
67,52.2725185,21.0429748,8,0,1,0,0,0,0,0,0,0,0,0,15789.47
68,52.2497386,20.9961587,6,0,1,0,0,0,0,0,0,0,0,1,19324.32
69,52.2239454,21.0243887,4,0,0,0,0,0,0,0,0,0,0,0,27860.47
70,52.2326918,21.1154436,7,0,0,0,0,0,0,0,0,0,1,0,12068.97
71,52.270499,21.0541333,6,0,1,0,0,0,0,0,0,0,0,0,14983.16
72,52.2326317,21.0025056,10,0,3,0,0,3,0,0,0,0,2,0,25891.34
73,52.178493,21.0531306,4,0,2,0,0,0,0,0,0,0,0,0,12028.3
74,52.2737935,21.0819929,9,0,2,0,0,0,0,0,0,0,0,0,16504.35
75,52.2497066,20.9247372,7,0,1,0,0,0,0,0,0,0,0,0,16878.38
76,52.206332,21.0391418,6,0,1,0,0,0,0,0,0,0,0,0,14557.45
77,52.2005081,20.9397382,4,0,0,0,0,0,0,0,0,0,0,0,14350.0
78,52.2245696,20.942428157,9,0,0,0,0,0,0,0,0,0,1,0,23741.2
79,52.1435155,21.0671627,4,0,0,0,0,0,0,0,0,0,0,0,13265.49
80,52.2914888,20.9454205,2,0,0,0,0,0,0,0,0,0,0,0,14647.81
81,52.2906721,21.0024365,12,0,0,0,0,0,0,0,0,0,0,0,28880.76
82,52.2559178,21.0513472,7,0,1,0,0,0,0,14,0,0,0,0,20278.33
83,52.2827574,20.9277702,8,0,0,0,0,0,0,0,0,0,0,0,13538.73
84,52.2960916,21.0416295,4,0,1,0,0,0,0,0,0,0,0,0,14186.05
85,52.1972742,21.0396971,5,0,1,0,0,0,0,0,0,0,0,0,16441.11
86,52.1811106,21.0370393,0,0,0,0,0,0,0,0,0,0,0,0,30735.24
87,52.2245696,20.942428157,9,0,0,0,0,0,0,0,0,0,1,0,20989.12
88,52.2501351,21.0576373,3,0,0,0,0,0,0,0,0,0,0,0,19152.91
89,52.1311829,21.0655018,9,0,4,0,0,0,0,0,0,0,0,0,19388.06
90,52.2244655,20.9367535,6,0,1,0,0,0,0,0,0,0,0,0,22029.59
91,52.2538544,20.9319867,3,0,1,0,0,0,0,0,0,0,0,0,22764.23
92,52.1908319,21.024065798,9,0,0,0,0,0,0,0,0,0,0,0,15566.63
93,52.1707003,21.1094762,2,0,0,0,0,0,0,0,0,0,0,0,19500.0
94,52.2068231,21.0774765,4,0,0,0,0,0,0,0,0,0,0,0,17261.46
95,52.2607175,20.973414,4,0,1,0,0,0,0,0,0,0,0,0,33362.26
96,52.17674,20.9922232,5,0,0,0,0,0,0,0,0,0,1,0,19837.23
97,52.2280844,20.9948357,6,0,3,0,0,0,0,0,0,0,1,0,43019.32
98,52.2255943,20.98047,1,0,0,0,0,0,0,0,0,0,0,0,29610.08
99,52.2299471,21.1091454,2,0,0,0,0,0,0,0,0,0,0,0,18535.3
100,52.2385367,21.149002,2,0,2,0,0,0,0,0,0,0,0,0,13333.33
101,52.3383029,20.9383118,4,0,0,0,0,0,0,0,0,0,0,0,14999.52
102,52.2429363,21.0843181,14,0,3,0,0,0,0,0,0,0,1,0,14112.9
103,52.3383029,20.9383118,4,0,0,0,0,0,0,0,0,0,0,0,14999.52
104,52.322891,20.948884,5,0,0,0,0,0,0,0,0,0,0,0,11379.8
105,52.2725691,20.9903538,2,0,1,0,0,0,0,0,0,0,0,0,19000.0
106,52.160612,21.0731755,4,0,2,0,0,0,0,0,0,0,0,0,19464.29
107,52.1593687,21.0794801,3,0,1,0,0,0,0,0,0,0,0,0,21655.17
108,52.1811106,21.0370393,0,0,0,0,0,0,0,0,0,0,0,0,25164.84
109,52.1976201,20.9245047,6,0,0,0,0,0,0,0,0,0,0,0,14705.87
110,52.1585305,21.0834652,6,0,0,0,0,0,0,0,0,0,0,0,16572.37
111,52.1672846,21.0074184,1,0,0,0,0,0,0,0,0,0,0,0,18009.48
112,52.2093092,21.0646351,0,0,1,0,0,0,0,0,0,0,0,0,18298.0
113,52.2751669,21.0485604,5,0,1,0,0,1,0,0,0,0,1,0,18372.09
114,52.1791267,21.023903,16,0,1,0,0,0,0,0,0,0,0,0,16187.21
115,52.2284801,21.0053454,18,0,3,0,0,1,0,0,0,0,1,0,26460.18
116,52.1489821,21.0429679,8,0,3,0,0,0,0,0,0,0,0,0,14083.33
117,52.1737331,21.0406913,6,0,0,0,0,0,0,0,0,0,0,0,15993.79
118,52.1920446,20.9036624142,6,0,1,0,0,0,0,0,0,0,0,0,19762.45
119,52.2387043,20.9844356,8,0,1,0,0,0,0,0,0,0,1,0,22081.48
120,52.193548,21.0168275,4,0,3,0,0,0,0,0,0,0,0,0,17581.03
121,52.2947407,21.0156691,7,0,0,0,0,0,0,0,0,0,1,0,20434.9
122,52.2996102,21.0333891,6,0,0,0,0,0,0,0,0,0,0,0,14305.56
123,52.2942504,21.0420382,7,0,1,0,0,0,0,0,0,0,0,0,16166.67
124,52.1664372,21.0863806,10,0,0,0,0,0,0,0,0,0,0,0,23108.58
125,52.2437944,21.0082389,3,0,1,0,0,2,0,0,0,0,0,0,19863.01
126,52.1930198,20.9440745,2,0,0,0,0,0,0,0,0,0,0,0,14859.69
127,52.3190743,20.9993838,6,0,0,0,0,0,0,0,0,0,0,0,13631.91
128,52.2060019,20.9986682,6,0,2,0,0,0,0,0,0,0,0,0,27790.7
129,52.1585305,21.0834652,6,0,0,0,0,0,0,0,0,0,0,0,22500.0
130,52.1952833,20.9530213,0,0,0,0,0,0,0,0,0,0,0,0,18055.05
131,52.1984465,20.9321043,1,0,1,0,0,0,0,0,0,0,0,0,11033.25
132,52.2049252,20.8821924,4,0,0,0,0,0,0,0,0,0,0,0,16088.19
133,52.2538544,20.9319867,3,0,1,0,0,0,0,0,0,0,0,0,19093.69
134,52.2181572,20.9645649,8,0,0,0,0,0,0,0,0,0,0,0,24900.0
135,52.2795973,20.9511669,4,0,2,0,0,0,0,0,0,0,0,0,15795.45
136,52.187034,20.9927235,10,0,0,0,0,0,0,0,0,0,0,0,23786.79
137,52.2753601,20.9384748,8,0,2,0,0,0,0,0,0,0,0,0,18345.59
138,52.2608948,20.9971568,4,0,1,0,0,0,0,0,0,0,0,0,18956.25
139,52.1554011,21.0842233,0,0,0,0,0,0,0,0,0,0,0,0,19452.05
140,52.2648093,21.0419466,5,0,0,0,0,0,0,0,0,0,0,0,20580.0
141,52.2403314,20.9298652,3,0,1,0,0,0,0,0,0,0,0,0,13661.31
142,52.2357403,20.9963846,8,0,2,0,0,0,0,0,0,0,2,0,35199.51
143,52.1585305,21.0834652,6,0,0,0,0,0,0,0,0,0,0,0,21162.28
144,52.2674508,20.9843989,15,0,2,0,0,0,0,0,0,0,1,0,18841.06
145,52.2540248,21.0091437,2,0,0,0,0,2,0,0,0,0,1,0,21986.08
146,52.2226908,21.06873,4,0,1,0,0,0,0,0,0,0,0,0,19736.84
147,52.2408234,21.09232,0,0,1,0,0,0,0,0,0,0,0,0,19321.23
